Country Name,CountryCode,ROL2015,ROL2016,ROL2017,ROL2018,ROL2019,COC2015,COC2016,COC2017,COC2018,COC2019,GE2015,GE2016,GE2017,GE2018,GE2019,Rank2015,Rank2016,Rank2017,Rank2018,Rank2019,Diff1516,DiffCoded1516,Diff1617,DiffCoded1617,Diff1718,DiffCoded1718,Diff1819,DiffCoded1819
Benin,BEN,33.65385,30.76923,30.28846,26.92308,26.92308,33.17308,34.13462,33.65385,41.34615,42.78846,30.28846,33.65385,25.96154,32.69231,36.05769,32.37179667,32.85256667,29.96795,33.65384667,35.25641,0.48077,1,-2.88461667,0,3.68589667,1,1.60256333,1
Bermuda,BMU,78.84615,79.80769,79.32692,78.84615,78.84615,87.01923,87.5,86.53846,86.53846,87.5,79.32692,87.98077,89.90385,88.94231,87.98077,81.73076667,85.09615333,85.25641,84.77564,84.77564,3.36538666,1,0.16025667,1,-0.48077,0,0,1
Bhutan,BTN,70.19231,68.75,74.03846,71.15385,72.59615,82.21154,82.21154,91.82692,91.82692,91.82692,67.78846,70.19231,71.63461,67.30769,64.90385,73.39743667,73.71795,79.16666333,76.76282,76.44230667,0.32051333,1,5.44871333,1,-2.40384333,0,-0.32051333,0
Bolivia,BOL,10.57692,9.615385,9.615385,9.615385,11.05769,26.92308,25,28.36539,28.84615,25.96154,29.32692,33.17308,37.98077,39.90385,24.51923,22.27564,22.596155,25.320515,26.121795,20.51282,0.320515,1,2.72436,1,0.80128,1,-5.608975,0
Bosnia and Herzegovina,BIH,46.15385,46.15385,47.11538,46.15385,46.63462,43.26923,37.01923,37.01923,31.25,30.28846,33.17308,39.42308,34.61538,28.36539,28.84615,40.86538667,40.86538667,39.58333,35.25641333,35.25641,0,1,-1.28205667,0,-4.32691667,0,-3.33E-06,0
Botswana,BWA,72.11539,71.15385,69.23077,68.75,69.23077,77.40385,80.76923,78.84615,77.88461,75.48077,71.15385,71.15385,68.75,65.38461,68.26923,73.55769667,74.35897667,72.27564,70.67307333,70.99359,0.80128,1,-2.08333667,0,-1.60256667,0,0.32051667,1
Brazil,BRA,51.44231,49.03846,43.26923,44.71154,47.59615,42.78846,42.78846,36.05769,40.38462,42.30769,48.07692,46.63462,41.82692,36.05769,43.75,47.43589667,46.15384667,40.38461333,40.38461667,44.55128,-1.28205,0,-5.76923334,0,3.34E-06,1,4.16666333,1
Brunei Darussalam,BRN,66.82692,71.63461,74.51923,74.51923,74.03846,69.23077,70.19231,75,79.80769,78.36539,82.21154,82.21154,84.13461,87.01923,87.01923,72.75641,74.67948667,77.88461333,80.44871667,79.80769333,1.92307667,1,3.20512666,1,2.56410334,1,-0.64102334,0
Bulgaria,BGR,54.32692,52.40385,51.92308,53.36538,54.80769,49.51923,50.96154,50.96154,50.96154,50.48077,61.05769,64.90385,63.46154,62.98077,65.38461,54.96794667,56.08974667,55.44872,55.76923,56.89102333,1.1218,1,-0.64102667,0,0.32051,1,1.12179333,1
Burkina Faso,BFA,34.61538,35.09615,39.42308,34.61538,37.5,48.55769,52.88462,53.36538,53.36538,49.51923,30.76923,34.13462,31.25,31.25,22.11539,37.98076667,40.70513,41.34615333,39.74358667,36.37820667,2.72436333,1,0.64102333,1,-1.60256666,0,-3.36538,0
Burundi,BDI,9.615385,7.211538,7.211538,5.769231,5.769231,9.134615,10.09615,9.134615,5.288462,4.807693,11.53846,7.211538,8.173077,8.173077,10.09615,10.09615333,8.173075333,8.173076667,6.410256667,6.891024667,-1.923077997,0,1.334E-06,1,-1.76282,0,0.480768,1
Cabo Verde,CPV,71.15385,63.46154,64.90385,67.78846,69.71154,79.80769,78.84615,80.28846,78.36539,79.80769,60.09615,57.69231,59.13462,64.42308,63.46154,70.35256333,66.66666667,68.10897667,70.19231,70.99359,-3.68589666,0,1.44231,1,2.08333333,1,0.80128,1
Cambodia,KHM,14.90385,12.98077,13.46154,11.05769,17.78846,12.01923,9.134615,8.653846,8.653846,9.615385,25,24.03846,25.48077,32.21154,31.73077,17.30769333,15.384615,15.86538533,17.307692,19.71153833,-1.92307833,0,0.48077033,1,1.44230667,1,2.40384633,1
Cameroon,CMR,15.38461,13.94231,14.90385,12.5,11.53846,12.98077,11.53846,11.05769,11.05769,11.05769,21.63461,22.11539,20.19231,19.71154,19.23077,16.66666333,15.86538667,15.38461667,14.42307667,13.94230667,-0.80127666,0,-0.48077,0,-0.96154,0,-0.48077,0
